coverage_baseline,risk_baseline,coverage_fused,risk_fused
100.0,0.33066252092800763,100.0,0.4088427220668531
98.16326530612245,0.3265716374269006,98.16326530612245,0.400443178220956
96.3265306122449,0.3221801477434974,96.3265306122449,0.39508733121342
94.48979591836735,0.31698519174788004,94.48979591836735,0.3891472868217054
92.65306122448979,0.3121652145853501,92.65306122448979,0.3823966268985674
90.81632653061224,0.3072820647879905,90.81632653061224,0.37696744549809363
88.9795918367347,0.3032258064516129,88.9795918367347,0.37138295749351424
87.14285714285714,0.29808550058327044,87.14285714285714,0.3655629139072848
85.3061224489796,0.2930744427309687,85.3061224489796,0.35897169025811826
83.46938775510205,0.2884877140196289,83.46938775510205,0.35228420996649473
81.63265306122449,0.28384119542924113,81.63265306122449,0.34623959976072655
79.79591836734694,0.27980517047583364,79.79591836734694,0.3404728789986092
77.95918367346938,0.27590703382680065,77.95918367346938,0.33380786971129206
76.12244897959184,0.2716417910447761,76.12244897959184,0.32697690692792164
74.28571428571428,0.26676326169202286,74.28571428571428,0.320784032508665
72.44897959183673,0.262297788048861,72.44897959183673,0.3137254901960784
70.61224489795919,0.25768481666525533,70.61224489795919,0.3072425499811392
68.77551020408163,0.25169535732916015,68.77551020408163,0.3011037242625702
66.93877551020408,0.24718599249598,66.93877551020408,0.2949134557994562
65.10204081632654,0.24331771837971894,65.10204081632654,0.28946471189907946
63.265306122448976,0.2392249527410208,63.265306122448976,0.2834187074591257
61.42857142857143,0.2351795970018495,61.42857142857143,0.2766295707472178
59.59183673469388,0.22917920931165964,59.59183673469388,0.2703367103694875
57.755102040816325,0.224477117415614,57.755102040816325,0.2657955418908532
55.91836734693877,0.21890706876269916,55.91836734693877,0.26238488409018734
54.08163265306122,0.2141751437417072,54.08163265306122,0.2556230504022328
52.244897959183675,0.20922513448552135,52.244897959183675,0.24921403687654006
50.40816326530612,0.20521945432977462,50.40816326530612,0.2426243945398503
48.57142857142857,0.20078788624892283,48.57142857142857,0.23599305365140297
46.73469387755102,0.19641714651311581,46.73469387755102,0.22960007599506033
44.89795918367347,0.19166222695791157,44.89795918367347,0.22216729286138026
43.06122448979592,0.18789057075406193,43.06122448979592,0.21742268041237114
41.224489795918366,0.18436321438932404,41.224489795918366,0.20999353866034892
39.38775510204081,0.1800516168210111,39.38775510204081,0.20491433724075744
37.55102040816326,0.175,37.55102040816326,0.19825038420617094
35.71428571428571,0.16912257200267916,35.71428571428571,0.1922933499067744
33.87755102040816,0.1641659311562224,33.87755102040816,0.18660725986109292
32.04081632653062,0.1601343784994401,32.04081632653062,0.1805459332132465
30.204081632653057,0.154226885765195,30.204081632653057,0.17548500881834214
28.367346938775512,0.14966273187183812,28.367346938775512,0.16885758998435055
26.530612244897952,0.14517583408476104,26.530612244897952,0.16214859437751003
24.693877551020407,0.14289174134172924,24.693877551020407,0.15803667745415317
22.85714285714286,0.141287284144427,22.85714285714286,0.15032045057292678
21.0204081632653,0.1359886201991465,21.0204081632653,0.1434002111932418
19.183673469387756,0.13310473815461346,19.183673469387756,0.13955102985420043
17.346938775510196,0.13098931402964495,17.346938775510196,0.13616585615561813
15.51020408163265,0.13112225221750867,15.51020408163265,0.13083309476095048
13.673469387755105,0.13123359580052493,13.673469387755105,0.12564935064935065
11.836734693877546,0.13188479029813036,11.836734693877546,0.1275318829707427
10.0,0.13217703349282298,10.0,0.12566607460035523
