coverage_baseline,risk_baseline,coverage_fused,risk_fused
100.0,-1.6693374790719924,100.0,-1.5911572779331469
98.16326530612245,-1.6734283625730995,98.16326530612245,-1.596888707999819
96.3265306122449,-1.6778198522565027,96.3265306122449,-1.6024701599152034
94.48979591836735,-1.68301480825212,94.48979591836735,-1.6091613812544046
92.65306122448979,-1.6878347854146498,92.65306122448979,-1.6148723108619616
90.81632653061224,-1.6927179352120094,90.81632653061224,-1.6205396421937628
88.9795918367347,-1.696774193548387,88.9795918367347,-1.6268708840550787
87.14285714285714,-1.7019144994167297,87.14285714285714,-1.632857870606215
85.3061224489796,-1.7069255572690312,85.3061224489796,-1.6389987510407993
83.46938775510205,-1.711512285980371,83.46938775510205,-1.6467053129819709
81.63265306122449,-1.7161588045707588,81.63265306122449,-1.652564032845723
79.79591836734694,-1.7201948295241662,79.79591836734694,-1.6592489568845619
77.95918367346938,-1.7240929661731994,77.95918367346938,-1.6656226866351576
76.12244897959184,-1.7283582089552239,76.12244897959184,-1.6723233030090974
74.28571428571428,-1.7332367383079772,74.28571428571428,-1.6798733118202462
72.44897959183673,-1.737702211951139,72.44897959183673,-1.6865808823529411
70.61224489795919,-1.7423151833347448,70.61224489795919,-1.693197535521187
68.77551020408163,-1.74830464267084,68.77551020408163,-1.6994771832440456
66.93877551020408,-1.75281400750402,66.93877551020408,-1.70621393991644
65.10204081632654,-1.7566822816202812,65.10204081632654,-1.7118990794408455
63.265306122448976,-1.7607750472589792,63.265306122448976,-1.7177741912848221
61.42857142857143,-1.7648204029981505,61.42857142857143,-1.7252493134846076
59.59183673469388,-1.7708207906883404,59.59183673469388,-1.7313766388557807
57.755102040816325,-1.775522882584386,57.755102040816325,-1.7362029208301306
55.91836734693877,-1.7810929312373007,55.91836734693877,-1.7405525563671007
54.08163265306122,-1.7858248562582928,54.08163265306122,-1.7465112461008045
52.244897959183675,-1.7907748655144786,52.244897959183675,-1.7526552808224998
50.40816326530612,-1.7947805456702255,50.40816326530612,-1.761074416556583
48.57142857142857,-1.7992121137510773,48.57142857142857,-1.7671145233525272
46.73469387755102,-1.8035828534868843,46.73469387755102,-1.7741996770209936
44.89795918367347,-1.8083377730420884,44.89795918367347,-1.78070001977457
43.06122448979592,-1.812109429245938,43.06122448979592,-1.7852577319587628
41.224489795918366,-1.8156367856106759,41.224489795918366,-1.7922679302175317
39.38775510204081,-1.8199483831789889,39.38775510204081,-1.799706943192065
37.55102040816326,-1.825,37.55102040816326,-1.8068329589786027
35.71428571428571,-1.8308774279973208,35.71428571428571,-1.8120571783716595
33.87755102040816,-1.8358340688437775,33.87755102040816,-1.8190276503734766
32.04081632653062,-1.83986562150056,32.04081632653062,-1.8261050297907717
30.204081632653057,-1.845773114234805,30.204081632653057,-1.830540858318636
28.367346938775512,-1.8503372681281618,28.367346938775512,-1.8370892018779343
26.530612244897952,-1.854824165915239,26.530612244897952,-1.841532797858099
24.693877551020407,-1.8571082586582708,24.693877551020407,-1.8480762315713772
22.85714285714286,-1.858712715855573,22.85714285714286,-1.8553117110118469
21.0204081632653,-1.8640113798008535,21.0204081632653,-1.8614572333685322
19.183673469387756,-1.8668952618453865,19.183673469387756,-1.8669289516315668
17.346938775510196,-1.869010685970355,17.346938775510196,-1.8699769644228308
15.51020408163265,-1.8688777477824914,15.51020408163265,-1.8757515030060121
13.673469387755105,-1.8687664041994752,13.673469387755105,-1.8782467532467533
11.836734693877546,-1.8681152097018696,11.836734693877546,-1.876219054763691
10.0,-1.867822966507177,10.0,-1.8765541740674956
