image_id,time_seconds,num_detections
9306,1.6723055839538574,26
8504,1.6541650295257568,16
8968,1.6208603382110596,21
9559,1.6253433227539062,26
6890,1.5768160820007324,5
6345,1.6851418018341064,10
5076,1.7302627563476562,22
9538,1.750619888305664,10
5152,1.704430341720581,14
4294,1.7682256698608398,20
1396,1.6604893207550049,4
3935,1.7095122337341309,14
4780,1.7239758968353271,9
9359,1.763678789138794,15
5909,1.8736729621887207,22
8687,1.982818841934204,22
4731,1.7458107471466064,9
4738,1.7797107696533203,17
6358,1.771759033203125,6
7963,1.780484676361084,22
6413,1.7433109283447266,13
5370,1.8003880977630615,24
7922,1.7298173904418945,13
2175,1.6966898441314697,24
3887,1.7365257740020752,21
9857,1.671363353729248,12
218,1.7136123180389404,14
5154,1.7165229320526123,13
5636,1.6933598518371582,6
9556,1.7308974266052246,18
5941,1.7072079181671143,19
7362,1.7435643672943115,10
6527,1.701899766921997,17
2520,1.7422590255737305,24
9082,1.7853384017944336,35
3412,1.7292628288269043,22
8027,1.8070192337036133,46
8676,1.6421582698822021,1
5519,1.783583164215088,16
2713,1.7345960140228271,12
3017,1.6775085926055908,13
136,1.7445266246795654,7
6682,1.7099864482879639,8
3890,1.690047025680542,11
2455,1.7313232421875,13
4611,1.752074956893921,22
5805,1.7299120426177979,9
8211,1.7119970321655273,10
4360,1.7814345359802246,27
4175,1.7428390979766846,15
8712,1.829766035079956,33
8401,1.7359216213226318,5
2755,1.7165870666503906,16
4863,1.7749722003936768,28
2451,1.8187999725341797,31
6902,1.8524365425109863,28
6056,1.7675237655639648,6
9620,1.7430016994476318,20
3219,1.765718936920166,7
1331,1.7469570636749268,16
2609,1.7395856380462646,14
5022,1.7467386722564697,22
7629,1.7644379138946533,12
2686,1.745276689529419,16
1145,1.8138375282287598,33
4223,1.8087773323059082,13
9057,1.733302354812622,13
4966,1.8374359607696533,15
1220,1.768728256225586,15
8773,1.7197494506835938,5
4254,1.7567365169525146,19
3880,1.755772352218628,12
6586,1.7157323360443115,12
2728,1.785154104232788,29
5845,1.694119930267334,15
9712,1.7663681507110596,10
318,1.7093653678894043,12
371,1.7622661590576172,22
329,1.8121659755706787,19
8483,1.7352147102355957,19
3288,1.7405619621276855,26
4170,1.7662317752838135,24
4935,1.6887619495391846,11
1630,1.8049254417419434,10
1181,1.8029839992523193,26
6184,1.7554354667663574,16
2995,1.8036770820617676,27
7691,1.73653244972229,11
9320,1.7096977233886719,11
2777,1.7303857803344727,11
8083,1.8346810340881348,38
8909,1.768613576889038,19
3057,1.7220916748046875,14
3226,1.7345433235168457,3
792,1.759582281112671,13
7987,1.7592010498046875,16
1054,1.7501747608184814,16
973,1.7541899681091309,29
5005,1.7104589939117432,19
9162,1.6958513259887695,13
