category,n_samples,nll_before,nll_after,ece_before,ece_after,brier_before,brier_after,nll_improvement,ece_improvement
person,3456,0.7080802658210025,0.7253347845833205,0.23541695295376625,0.2170638921997971,0.2576798790082119,0.26635270447960835,-0.017254518762317983,0.01835306075396914
rider,66,0.8396929715139234,0.9041621593597301,0.5546926641125965,0.5821150025360021,0.32274534173574654,0.3540087666148027,-0.06446918784580669,-0.02742233842340558
car,11251,0.5703158877393796,0.5317922808068415,0.24356312998951996,0.2072821752294291,0.18955922842399386,0.17168716254483776,0.03852360693253809,0.036280954760090856
truck,1881,0.7830494183822831,0.8300821936713406,0.3314038454497303,0.3721795158084435,0.294528255032899,0.3170413444618238,-0.04703277528905747,-0.04077567035871321
bus,821,0.7969693054052343,0.848829871118517,0.42241968667769453,0.4723220736120205,0.30169614562489083,0.32692096915593455,-0.05186056571328279,-0.04990238693432597
train,149,0.8626279252479574,0.9380602781009431,0.5722530619485872,0.6029706445346195,0.33389002660369577,0.37003406635156305,-0.07543235285298566,-0.0307175825860323
motorcycle,1026,0.8799659188066901,0.9637007144042369,0.5844379516582625,0.6169804570641989,0.34214412847012576,0.3816865658682757,-0.08373479559754682,-0.032542505405936395
bicycle,394,0.7864102067930483,0.8327317642246127,0.4374704690641358,0.4830627223973806,0.2965895173045822,0.31940454383385825,-0.04632155743156441,-0.04559225333324479
traffic light,6975,0.7184861870154494,0.7404603852399109,0.21072282156880112,0.22312158536683468,0.262735607793272,0.27350032571627464,-0.02197419822446145,-0.012398763798033563
traffic sign,4227,0.6203261471365371,0.6020711783397583,0.10574935396061996,0.11527755115391214,0.2143179152932636,0.2061441130736703,0.018254968796778792,-0.009528197193292176
